company,revenues_rank,profit_rank,networth_rank,assets_rank,fsi_rank
LT Foods,818,360,529,334,937
MonnetIspat,228,976,209,75,876
Jindal Worldwide,662,554,772,693,573
Lakshmi Energy & Foods,822,949,535,451,952
Monsanto India,758,288,573,786,196
JKLakshmi Cement,316,296,258,249,496
LMW,286,189,270,436,55
Monte Carlo Fashions,757,402,539,698,498
Morarjee Textiles,983,590,846,843,838
OrientPaper& Inds,389,833,555,582,405
R S Software,965,379,713,917,175
Morepen Lab,954,749,781,796,706
OrientRefractories,893,424,776,951,113
R Sysstem Intl,734,344,729,922,117
Motherson Sumi,28,71,157,112,140
Oriental Carbon & Chemicals,993,447,706,827,414
Radico Khaitan,444,376,359,391,545
MphasiS,140,83,77,163,131
Oriental Hotels,982,753,607,605,764
Rain Industries,155,322,133,95,685
MRF,64,68,92,128,79
Oudh SugarMills,540,884,960,538,847
RainbowPapers,538,409,431,357,846
MSP Steel,544,896,446,378,903
PI Ind,337,176,336,506,71
Rajapalayam Mills,959,656,750,718,713
Mukand,241,659,848,206,918
Page Ind,425,202,560,665,109
Rajesh Exports,450,84,116,134,369
Munjal Auto,623,494,736,875,200
Panacea Biotec,717,897,942,407,935
Rajshree Sugar,740,879,933,606,956
Munjal Showa,417,352,541,772,30
Panama Petrochem,665,617,688,877,462
Rallis,376,230,365,531,133
N R Agarwal Ind,700,843,873,735,765
Panchmahal Steel,997,787,821,939,687
Ram Ratna Wires,694,667,887,950,616
Nagarjuna Agrichem,669,685,767,769,515
Pantaloons Fashion & Retail,646,935,595,390,912
Rama Phosphate,975,801,833,957,555
Nagreeka Exports,879,717,852,881,656
ParamountComm,962,894,969,946,913
Ramco Ind,612,319,427,500,460
NaharInd,391,829,442,411,680
Parsvnath Developers,615,898,145,168,787
Ramco Systems,990,649,684,692,836
NaharSpinning,336,593,381,371,625
Pasupati Acrylon,804,639,899,980,473
Ramkrishna Forgings,691,353,542,482,782
Nakoda,576,969,948,381,990
Patel Engineering,218,684,206,129,902
